Latitude,Longitude,Magnitude
-11.9654860436,-76.5440867331,43.9612350464
-11.9654619322,-76.5441164394,43.8078613281
-11.9654373562,-76.5441456632,43.8290939331
-11.9654122282,-76.5441745082,43.8479995728
-11.9653867038,-76.5442027978,43.8283538818
-11.9653606268,-76.5442307071,43.8859863281
-11.9653340182,-76.5442582063,43.8077087402
-11.9653070712,-76.5442850998,43.5382690430
-11.9652795662,-76.5443116081,43.8717117310
-11.9652516611,-76.5443375768,43.9783554077
-11.9652232903,-76.5443630681,43.9797439575
-11.9651944756,-76.5443880614,43.7536621094
-11.9651652489,-76.5444125283,43.9670944214
-11.9651356486,-76.5444364397,43.8642730713
-11.9651056562,-76.5444598128,43.9041900635
-11.9650752058,-76.5444826972,43.7718124390
-11.9650443821,-76.5445050269,43.6505508423
-11.9650131158,-76.5445268507,43.6814422607
-11.9649816135,-76.5445480270,43.9393234253
-11.9649496145,-76.5445687305,43.9214553833
-11.9649173182,-76.5445888295,43.8156738281
-11.9648847218,-76.5446083293,43.7606811523
-11.9648517483,-76.5446272754,43.9298095703
-11.9648185171,-76.5446455996,43.9402389526
-11.9647849334,-76.5446633552,43.8930892944
-11.9647510603,-76.5446805077,43.8458175659
-11.9647168542,-76.5446970777,43.9301223755
-11.9646824169,-76.5447130166,43.9417114258
-11.9646476074,-76.5447283879,43.9040679932
-11.9646126963,-76.5447430734,43.7461853027
-11.9645774619,-76.5447571690,43.8736648560
-11.9645419734,-76.5447706442,43.8817367554
-11.9645062941,-76.5447834757,43.8763046265
-11.9644703037,-76.5447957046,43.8204116821
-11.9644342176,-76.5448072583,43.8340606689
-11.9643979093,-76.5448181797,43.8850631714
-11.9643614494,-76.5448284473,43.9023513794
-11.9643247995,-76.5448380727,43.8690109253
-11.9642880298,-76.5448470378,44.0323257446
-11.9642510506,-76.5448553637,43.9178695679
-11.9642139612,-76.5448630272,43.6285934448
-11.9641767139,-76.5448700383,43.9572830200
-11.9641393521,-76.5448763875,44.0056991577
-11.9641018383,-76.5448820804,43.8065948486
-11.9640643462,-76.5448870919,43.8297042847
-11.9640267460,-76.5448914420,43.8895645142
-11.9639890201,-76.5448951304,43.8822937012
-11.9639513222,-76.5448981428,43.9150772095
-11.9639134446,-76.5449004946,43.9807968140
-11.9638756165,-76.5449021700,44.0320816040
-11.9638378414,-76.5449031736,43.8908691406
-11.9637999105,-76.5449035085,43.8858871460
-11.9637620779,-76.5449031717,43.8777694702
-11.9637241762,-76.5449021622,43.8233489990
-11.9636864428,-76.5449004877,43.9981460571
-11.9636486168,-76.5448981373,44.0841979980
-11.9636107923,-76.5448951124,44.0190658569
-11.9635731727,-76.5448914316,43.9513931274
-11.9635355476,-76.5448870764,43.9780807495
-11.9634980476,-76.5448820616,43.9754486084
-11.9634605949,-76.5448763762,43.8844375610
-11.9634231967,-76.5448700191,43.9092559814
-11.9633859963,-76.5448630154,43.7317733765
-11.9633488212,-76.5448553323,43.9775161743
-11.9633119428,-76.5448470273,44.0148239136
-11.9632751306,-76.5448380507,43.8114013672
-11.9632384242,-76.5448284087,44.0142135620
-11.9632018933,-76.5448181176,43.8531570435
-11.9631655876,-76.5448071928,43.8678359985
-11.9631294864,-76.5447956302,43.9468994141
-11.9630936422,-76.5447834480,43.8529586792
-11.9630579257,-76.5447706016,43.9788131714
-11.9630224903,-76.5447571446,43.6174697876
-11.9629871934,-76.5447430222,43.8086547852
-11.9629521832,-76.5447282914,43.8286361694
-11.9629174765,-76.5447129621,43.8332366943
-11.9628830796,-76.5446970398,43.8423995972
-11.9628488514,-76.5446804569,43.9103775024
-11.9628149396,-76.5446632823,43.9463348389
-11.9627813895,-76.5446455417,43.6853103638
-11.9627481486,-76.5446272098,43.8778533936
-11.9627151346,-76.5446082373,43.8647537231
-11.9626825477,-76.5445887400,43.9036331177
-11.9626502372,-76.5445686286,43.7938461304
-11.9626183077,-76.5445479671,43.9196853638
-11.9625867257,-76.5445267342,43.8368530273
-11.9625554953,-76.5445049318,43.7339859009
-11.9625247520,-76.5444826579,43.7047119141
-11.9624943225,-76.5444597884,43.7163543701
-11.9624642376,-76.5444363410,43.8761367798
-11.9624346377,-76.5444124266,43.9032058716
-11.9624053796,-76.5443879292,43.9773635864
-11.9623765765,-76.5443629419,43.7813034058
-11.9623482131,-76.5443374530,43.8134841919
-11.9623203419,-76.5443115122,43.7243499756
-11.9622928478,-76.5442850115,43.8730239868
-11.9622658438,-76.5442580573,43.9079589844
-11.9622393407,-76.5442306643,44.0628814697
-11.9622132700,-76.5442027608,43.7637252808
-11.9621876658,-76.5441743801,43.9138793945
-11.9621625975,-76.5441456007,43.7868423462
-11.9621379862,-76.5441163325,44.0198898315
-11.9621139302,-76.5440866920,43.7917404175
-11.9620903079,-76.5440565283,43.9348144531
-11.9620672629,-76.5440260227,43.7243576050
-11.9620447504,-76.5439951199,43.8917846680
-11.9620227544,-76.5439637973,44.0476760864
-11.9620013564,-76.5439321739,43.8801803589
-11.9619804270,-76.5439000568,43.9494323730
-11.9619601127,-76.5438676696,44.0819778442
-11.9619403162,-76.5438348583,43.9241638184
-11.9619211123,-76.5438017455,43.9134292603
-11.9619024378,-76.5437682205,43.8244476318
-11.9618843662,-76.5437344135,43.8492507935
-11.9618669017,-76.5437003371,43.8732070923
-11.9618500147,-76.5436659360,43.8841934204
-11.9618336951,-76.5436311847,43.7323379517
-11.9618179723,-76.5435961404,43.9525375366
-11.9618028993,-76.5435609289,44.0528106689
-11.9617884017,-76.5435253779,43.8690795898
-11.9617745282,-76.5434896037,44.1417922974
-11.9617612854,-76.5434536276,43.9322280884
-11.9617486202,-76.5434172994,43.9592971802
-11.9617366054,-76.5433808238,43.8575668335
-11.9617252394,-76.5433442069,43.7397308350
-11.9617144945,-76.5433073643,44.0765228271
-11.9617043493,-76.5432702060,43.7893905640
-11.9616948784,-76.5432330056,43.7718429565
-11.9616860321,-76.5431955746,43.8683700562
-11.9616778427,-76.5431580489,43.8139877319
-11.9616702951,-76.5431203631,43.8789978027
-11.9616633983,-76.5430825607,43.8313827515
-11.9616571570,-76.5430446761,43.8738327026
-11.9616515617,-76.5430066493,43.9603042603
-11.9616466130,-76.5429684656,43.7945098877
-11.9616423261,-76.5429302384,43.8710098267
-11.9616386995,-76.5428919694,43.8180389404
-11.9616357318,-76.5428536587,43.6625671387
-11.9616334219,-76.5428152855,44.0018539429
-11.9616317682,-76.5427767858,44.0713500977
-11.9616307801,-76.5427384013,43.7671890259
-11.9616304505,-76.5426998942,44.0229339600
-11.9616307824,-76.5426614616,43.9025955200
-11.9616317724,-76.5426230935,43.6439437866
-11.9616334290,-76.5425845761,43.8023757935
-11.9616357380,-76.5425462536,43.9172897339
-11.9616387102,-76.5425079074,43.6746292114
-11.9616423408,-76.5424696187,43.7620544434
-11.9616466256,-76.5424314294,43.8866271973
-11.9616515688,-76.5423932995,43.8811798096
-11.9616571690,-76.5423552458,43.8458862305
-11.9616634187,-76.5423173203,43.8365936279
-11.9616703167,-76.5422795240,43.8681564331
-11.9616778807,-76.5422417695,43.9737014771
-11.9616860584,-76.5422043098,43.7708206177
-11.9616948954,-76.5421669248,43.7972946167
-11.9617043797,-76.5421296786,43.8532485962
-11.9617145085,-76.5420925858,44.0150375366
-11.9617252609,-76.5420557210,44.0380401611
-11.9617366732,-76.5420189643,43.9579544067
-11.9617486835,-76.5419825133,43.8847274780
-11.9617613170,-76.5419462841,43.9594573975
-11.9617745542,-76.5419103280,43.8120803833
-11.9617884510,-76.5418744985,43.8520278931
-11.9618029405,-76.5418389729,43.9234237671
-11.9618180541,-76.5418036729,43.9301071167
-11.9618337661,-76.5417686604,43.9454269409
-11.9618500262,-76.5417340395,43.9255828857
-11.9618669255,-76.5416996151,43.8467636108
-11.9618844484,-76.5416654293,43.9829940796
-11.9619024752,-76.5416317110,43.9677810669
-11.9619211221,-76.5415982371,43.9709701538
-11.9619403474,-76.5415650889,44.1628189087
-11.9619601711,-76.5415322357,43.9168090820
-11.9619805022,-76.5414998253,43.8275527954
-11.9620013593,-76.5414678218,43.7932586670
-11.9620228381,-76.5414360815,43.8646011353
-11.9620448212,-76.5414047815,43.9087142944
-11.9620673176,-76.5413739040,43.8467330933
-11.9620904359,-76.5413433051,43.8555984497
-11.9621139842,-76.5413132400,43.7670516968
-11.9621380272,-76.5412836179,43.6393508911
-11.9621626422,-76.5412543467,43.5045242310
-11.9621877423,-76.5412255336,43.7482757568
-11.9622133226,-76.5411971819,43.8472518921
-11.9622393742,-76.5411693004,43.7621917725
-11.9622659440,-76.5411418407,43.8750686646
-11.9622929281,-76.5411149098,43.8773727417
-11.9623203797,-76.5410884517,43.8813629150
-11.9623483452,-76.5410624262,43.8065338135
-11.9623766932,-76.5410369550,44.0268630981
-11.9624054514,-76.5410120096,44.1255264282
-11.9624347330,-76.5409874951,43.8375701904
-11.9624643540,-76.5409635666,43.9788055420
-11.9624943787,-76.5409401688,43.8656234741
-11.9625248167,-76.5409172946,43.8037185669
-11.9625556598,-76.5408949511,43.8932418823
-11.9625868941,-76.5408731503,44.1028442383
-11.9626184454,-76.5408519422,43.9393920898
-11.9626503400,-76.5408313061,43.8537673950
-11.9626825999,-76.5408112279,43.7469711304
-11.9627152788,-76.5407916780,43.8281784058
-11.9627482194,-76.5407727504,43.7719650269
-11.9627814607,-76.5407544198,43.8932571411
-11.9628150445,-76.5407366635,43.8081283569
-11.9628489761,-76.5407194813,43.9817810059
-11.9628831970,-76.5407029046,43.8912124634
-11.9629176410,-76.5406869637,43.8853530884
-11.9629523141,-76.5406716523,43.8737564087
-11.9629873229,-76.5406569248,44.1213607788
-11.9630225418,-76.5406428352,43.8628616333
-11.9630580127,-76.5406293664,44.0059509277
-11.9630936998,-76.5406165317,44.0156173706
-11.9631296481,-76.5406043163,44.0743789673
-11.9631656816,-76.5405927778,43.8132400513
-11.9632020698,-76.5405818311,43.8860931396
-11.9632385449,-76.5405715585,43.7795486450
-11.9632752167,-76.5405619274,43.7896270752
-11.9633119955,-76.5405529603,43.8200912476
-11.9633490132,-76.5405446263,44.0902786255
-11.9633861311,-76.5405369579,44.0651473999
-11.9634232749,-76.5405299669,43.9207229614
-11.9634606152,-76.5405236204,43.8031692505
-11.9634981299,-76.5405179267,43.8368911743
-11.9635356656,-76.5405129088,43.7492218018
-11.9635732830,-76.5405085566,43.8596420288
-11.9636109212,-76.5405048764,44.0902328491
-11.9636486605,-76.5405018595,43.7537689209
-11.9636865221,-76.5404995081,43.8735198975
-11.9637243722,-76.5404978308,43.8204193115
-11.9637622442,-76.5404968252,43.9571609497
-11.9638000191,-76.5404964913,43.8734436035
-11.9638379465,-76.5404968282,43.7578048706
-11.9638757711,-76.5404978354,44.0718841553
-11.9639136141,-76.5404995145,43.9336013794
-11.9639513615,-76.5405018601,43.9668579102
-11.9639891342,-76.5405048798,44.0213241577
-11.9640267757,-76.5405085612,43.7726669312
-11.9640644940,-76.5405129266,43.6613082886
-11.9641019733,-76.5405179390,43.8371047974
-11.9641394135,-76.5405236224,43.8327865601
-11.9641768323,-76.5405299830,44.0284042358
-11.9642139669,-76.5405369738,43.8795547485
-11.9642511726,-76.5405446626,43.9798355103
-11.9642880500,-76.5405529669,44.0249252319
-11.9643249666,-76.5405619695,43.9169311523
-11.9643615349,-76.5405715758,43.8269042969
-11.9643980963,-76.5405818748,43.7675476074
-11.9644343854,-76.5405927937,43.9089126587
-11.9644705143,-76.5406043649,43.8577880859
-11.9645063863,-76.5406165566,43.8105545044
-11.9645420968,-76.5406294014,43.8671417236
-11.9645775498,-76.5406428652,43.9078750610
-11.9646128025,-76.5406569702,43.8078613281
-11.9646477467,-76.5406716722,43.7490386963
-11.9646824309,-76.5406869897,43.7856826782
-11.9647168913,-76.5407029398,43.7409057617
-11.9647510678,-76.5407194962,43.9858474731
-11.9647849901,-76.5407366742,43.8298797607
-11.9648186205,-76.5407544562,43.7961578369
-11.9648519035,-76.5407728120,43.6175537109
-11.9648847834,-76.5407917068,43.8682632446
-11.9649174390,-76.5408112441,44.1280975342
-11.9649497667,-76.5408313660,44.0498962402
-11.9649816519,-76.5408519985,44.1202545166
-11.9650132469,-76.5408732390,44.2759475708
-11.9650444592,-76.5408950279,44.0486755371
-11.9650752387,-76.5409173272,44.2700271606
-11.9651057114,-76.5409402295,44.0986557007
-11.9651357289,-76.5409636241,44.2240447998
-11.9651653683,-76.5409875699,43.9336929321
-11.9651945716,-76.5410120206,43.7664413452
-11.9652233601,-76.5410369934,43.9849700928
-11.9652517663,-76.5410625194,43.8814010620
-11.9652796409,-76.5410884625,43.9115676880
-11.9653071796,-76.5411150065,44.0701828003
-11.9653341179,-76.5411418949,43.7964096069
-11.9653607045,-76.5411693743,43.9960784912
-11.9653867626,-76.5411972659,43.9816589355
-11.9654123253,-76.5412256013,43.9220809937
-11.9654374398,-76.5412544345,43.8775939941
-11.9654620193,-76.5412836658,43.9152297974
-11.9654861307,-76.5413133761,43.9355010986
-11.9663645017,-76.5406651620,11.1426048279
-11.9663990689,-76.5407109190,11.0394287109
-11.9664327918,-76.5407572053,10.7105941772
-11.9664658210,-76.5408042278,10.8450164795
-11.9664979723,-76.5408517370,11.1381149292
-11.9665293860,-76.5408999420,11.2786216736
-11.9665598238,-76.5409484702,12.1847534180
-11.9665895500,-76.5409977398,11.6063079834
-11.9666183326,-76.5410473697,11.7941741943
-11.9666463348,-76.5410976410,11.9697456360
-11.9666734034,-76.5411482767,12.4667091370
-11.9666996850,-76.5411995571,12.1771888733
-11.9667250280,-76.5412511887,10.5826187134
-11.9667494653,-76.5413032299,9.1767005920
-11.9667730162,-76.5413557216,10.1195983887
-11.9667956656,-76.5414086318,10.8003387451
-11.9668173539,-76.5414618141,10.9177322388
-11.9668382037,-76.5415155752,10.4591217041
-11.9668580990,-76.5415696260,13.3445739746
-11.9668770558,-76.5416240021,12.4143333435
-11.9668950984,-76.5416787758,8.2458038330
-11.9669121353,-76.5417336630,7.9475021362
-11.9669282884,-76.5417890540,8.3030319214
-11.9669434641,-76.5418446388,10.9880142212
-11.9669576725,-76.5419004460,16.7543296814
-11.9669709206,-76.5419564955,19.8138732910
-11.9669832117,-76.5420128062,13.2260627747
-11.9669945325,-76.5420693240,16.7925376892
-11.9670048941,-76.5421261098,14.6120567322
-11.9670142745,-76.5421830509,17.4430541992
-11.9670226699,-76.5422401201,21.2739448547
-11.9670300733,-76.5422972469,23.8000259399
-11.9670364993,-76.5423545361,12.9227981567
-11.9670419478,-76.5424120223,17.6402053833
-11.9670464005,-76.5424694997,23.2507743835
-11.9670498705,-76.5425271421,24.3287162781
-11.9670523426,-76.5425846860,18.8379020691
-11.9670538282,-76.5426423311,16.9985237122
-11.9670543236,-76.5427001751,11.3395729065
-11.9670538271,-76.5427577381,8.5116958618
-11.9670523387,-76.5428154202,14.5674133301
-11.9670498567,-76.5428731136,17.7363967896
-11.9670463941,-76.5429305926,20.4072341919
-11.9670419238,-76.5429882567,19.3840484619
-11.9670364921,-76.5430455304,23.5957260132
-11.9670300639,-76.5431028297,21.2368888855
-11.9670226517,-76.5431600117,20.1365165710
-11.9670142513,-76.5432170977,19.4681472778
-11.9670048544,-76.5432741206,19.4642105103
-11.9669945309,-76.5433306849,25.2840805054
-11.9669831827,-76.5433873304,22.5582618713
-11.9669709007,-76.5434435911,20.1592864990
-11.9669576551,-76.5434996246,19.8935737610
-11.9669434279,-76.5435554976,21.9747848511
-11.9669282357,-76.5436111330,23.0839920044
-11.9669120716,-76.5436665490,16.9894828796
-11.9668950316,-76.5437214323,17.6492195129
-11.9668769744,-76.5437762392,14.0940017700
-11.9668580582,-76.5438304882,14.0717773438
-11.9668381667,-76.5438845222,14.1837692261
-11.9668173395,-76.5439382221,15.1309814453
-11.9667955660,-76.5439916062,13.4826889038
-11.9667729164,-76.5440445068,8.9782218933
-11.9667494019,-76.5440969082,8.5862121582
-11.9667249281,-76.5441490194,9.5824966431
-11.9666995691,-76.5442006738,12.8536109924
-11.9666733325,-76.5442518587,13.6028709412
-11.9666462222,-76.5443025659,12.5725631714
-11.9666182882,-76.5443527081,12.5922775269
-11.9665894860,-76.5444023684,13.0789222717
-11.9665597833,-76.5444515960,13.0802612305
-11.9665292563,-76.5445002605,12.2449913025
-11.9664979467,-76.5445483034,10.6489677429
-11.9664657625,-76.5445958634,10.7916679382
-11.9664327676,-76.5446428433,12.3307342529
-11.9663989028,-76.5446893219,11.1455383301
-11.9663644029,-76.5447349830,12.2513084412
-11.9663290628,-76.5447801060,11.2739295959
-11.9662928953,-76.5448246654,10.8297271729
-11.9662560312,-76.5448685012,11.7730331421
-11.9662183392,-76.5449117687,11.2145881653
-11.9661800525,-76.5449542033,11.0025405884
-11.9661409370,-76.5449960670,11.2155189514
-11.9661010238,-76.5450373159,11.2066917419
-11.9660606033,-76.5450776563,10.7311668396
-11.9660193456,-76.5451174187,11.0548706055
-11.9659774879,-76.5451563716,11.0486373901
-11.9659349316,-76.5451946086,10.4221000671
-11.9658917094,-76.5452320983,11.0363006592
-11.9658478692,-76.5452687986,11.3539733887
-11.9658034687,-76.5453046657,10.9501876831
-11.9657584799,-76.5453397255,11.0253067017
-11.9657128042,-76.5453740520,11.1114540100
-11.9656665687,-76.5454075464,10.0746459961
-11.9656196691,-76.5454402819,11.7204818726
-11.9655724155,-76.5454720463,10.7940597534
-11.9655244170,-76.5455031015,11.0917816162
-11.9654759724,-76.5455332497,11.2889251709
-11.9654270777,-76.5455624996,10.4132499695
-11.9653776174,-76.5455909185,12.0725173950
-11.9653277706,-76.5456184048,11.1992874146
-11.9652773948,-76.5456450379,10.6718330383
-11.9652265852,-76.5456707666,11.2517166138
-11.9651752758,-76.5456956216,10.6855697632
-11.9651236199,-76.5457195298,10.9946365356
-11.9650714056,-76.5457425865,10.5949020386
-11.9650190388,-76.5457646143,11.4247627258
-11.9649661870,-76.5457857579,10.3998336792
-11.9649129544,-76.5458059703,11.8751220703
-11.9648594352,-76.5458252175,11.0023574829
-11.9648054496,-76.5458435604,11.1601524353
-11.9647513205,-76.5458608908,11.0974159241
-11.9646968580,-76.5458772727,11.1066055298
-11.9646421679,-76.5458926742,11.5826492310
-11.9645871932,-76.5459071118,11.3275680542
-11.9645320385,-76.5459205595,13.6028785706
-11.9644765696,-76.5459330481,10.2763404846
-11.9644209356,-76.5459445431,12.5785751343
-11.9643650644,-76.5459550594,8.7589874268
-11.9643090219,-76.5459645833,10.2494964600
-11.9642527511,-76.5459731223,11.2151451111
-11.9641965128,-76.5459806392,11.1088027954
-11.9641401125,-76.5459871641,10.9792747498
-11.9640835237,-76.5459926964,10.6270294189
-11.9640269768,-76.5459972149,10.8293647766
-11.9639701604,-76.5460007424,12.1614990234
-11.9639134182,-76.5460032553,10.1314582825
-11.9638567556,-76.5460047603,10.3835029602
-11.9637998592,-76.5460052626,12.7125396729
-11.9637431103,-76.5460047573,10.0701255798
-11.9636862578,-76.5460032427,11.4571075439
-11.9636296577,-76.5460007307,10.9862060547
-11.9635729188,-76.5459972049,13.3734779358
-11.9635161820,-76.5459926671,13.1740951538
-11.9634597527,-76.5459871458,12.3259849548
-11.9634033150,-76.5459806131,11.8795471191
-11.9633470650,-76.5459730904,12.9806442261
-11.9632908860,-76.5459645621,13.1111679077
-11.9632347887,-76.5459550263,9.4214782715
-11.9631789883,-76.5459445205,10.0092735291
-11.9631232256,-76.5459329956,12.0460891724
-11.9630679082,-76.5459205380,11.0093841553
-11.9630126898,-76.5459070728,9.3262786865
-11.9629576303,-76.5458926096,13.7518806458
-11.9629028340,-76.5458771727,12.4579696655
-11.9628483754,-76.5458607855,11.6352615356
-11.9627942238,-76.5458434411,12.7781524658
-11.9627404575,-76.5458251676,13.6612548828
-11.9626868829,-76.5458058978,11.8866844177
-11.9626337299,-76.5457857124,7.8429870605
-11.9625807846,-76.5457645286,9.8769302368
-11.9625282693,-76.5457424323,13.1511993408
-11.9624762094,-76.5457194382,11.0644378662
-11.9624246142,-76.5456955543,13.5715942383
-11.9623732720,-76.5456706800,14.0358886719
-11.9623224043,-76.5456449180,13.6750335693
-11.9622720792,-76.5456183070,10.9874114990
-11.9622222180,-76.5455908087,12.9333190918
-11.9621726972,-76.5455623502,11.1873016357
-11.9621238169,-76.5455331039,9.4727439880
-11.9620753511,-76.5455029365,10.9391937256
-11.9620274570,-76.5454719444,13.0721702576
-11.9619800842,-76.5454400951,11.0163803101
-11.9619332384,-76.5454073913,10.0466423035
-11.9618871239,-76.5453739805,9.1750106812
-11.9618414796,-76.5453396760,9.2964286804
-11.9617963524,-76.5453045049,10.7978210449
-11.9617519528,-76.5452686333,9.5030059814
-11.9617080658,-76.5452318873,9.5812454224
-11.9616648612,-76.5451944061,10.7165946960
-11.9616223160,-76.5451561729,9.1209564209
-11.9615805094,-76.5451172616,12.8435592651
-11.9615392684,-76.5450775106,10.1177215576
-11.9614987624,-76.5450370794,11.0458259583
-11.9614590080,-76.5449959897,11.3742103577
-11.9614199020,-76.5449541347,11.9123916626
-11.9613814959,-76.5449115634,10.5475997925
-11.9613438934,-76.5448683945,11.6477851868
-11.9613069767,-76.5448244921,11.1508979797
-11.9612708927,-76.5447800314,11.7049942017
-11.9612354594,-76.5447347860,10.3258590698
-11.9612008920,-76.5446890276,11.1520423889
-11.9611671233,-76.5446426735,10.1838798523
-11.9611341296,-76.5445956897,11.6752662659
-11.9611020326,-76.5445482546,10.2196578979
-11.9610706386,-76.5445000792,10.7197608948
-11.9610401674,-76.5444514984,10.9944648743
-11.9610104728,-76.5444022816,10.4658012390
-11.9609816670,-76.5443526125,10.7593460083
-11.9609536552,-76.5443023251,11.7417182922
-11.9609265480,-76.5442516147,11.2505950928
-11.9609003511,-76.5442005002,11.5923461914
-11.9608750208,-76.5441488987,11.8074684143
-11.9608505415,-76.5440967719,12.4580001831
-11.9608269574,-76.5440442058,12.0228614807
-11.9608043479,-76.5439913885,12.2208862305
-11.9607826017,-76.5439380622,11.8145637512
-11.9607617915,-76.5438844012,10.6720581055
-11.9607419275,-76.5438304372,10.4005813599
-11.9607229297,-76.5437759450,11.0342903137
-11.9607049074,-76.5437212317,9.8906211853
-11.9606878584,-76.5436663067,10.8576622009
-11.9606717413,-76.5436110429,11.6070289612
-11.9606565238,-76.5435553057,10.5382080078
-11.9606423173,-76.5434995053,11.4734001160
-11.9606290480,-76.5434433590,12.3132972717
-11.9606167638,-76.5433870705,11.1821517944
-11.9606054424,-76.5433305421,11.4889640808
-11.9605950973,-76.5432738388,10.9706993103
-11.9605857354,-76.5432170121,10.7410202026
-11.9605773424,-76.5431599722,11.2811317444
-11.9605699193,-76.5431026967,12.1222763062
-11.9605634890,-76.5430453563,11.6792526245
-11.9605580492,-76.5429879529,12.2423057556
-11.9605535977,-76.5429304871,12.7100791931
-11.9605501328,-76.5428729275,11.2920150757
-11.9605476525,-76.5428151783,10.5177040100
-11.9605461702,-76.5427576018,11.7019882202
-11.9605456759,-76.5426998414,11.6907997131
-11.9605461736,-76.5426421927,10.7470474243
-11.9605476586,-76.5425846407,11.6398124695
-11.9605501436,-76.5425268649,10.7636184692
-11.9605536071,-76.5424693814,10.4592247009
-11.9605580655,-76.5424118623,11.8085556030
-11.9605635111,-76.5423544295,11.2323493958
-11.9605699383,-76.5422971458,11.7560272217
-11.9605773531,-76.5422399510,11.4675369263
-11.9605857534,-76.5421828708,11.3086318970
-11.9605951280,-76.5421259828,11.7585678101
-11.9606054750,-76.5420692885,11.5130500793
-11.9606168207,-76.5420126570,10.7909164429
-11.9606290872,-76.5419564677,11.6121673584
-11.9606423427,-76.5419003904,11.0858612061
-11.9606565693,-76.5418445213,11.0948448181
-11.9606717623,-76.5417888823,11.6859741211
-11.9606878910,-76.5417335853,11.6942138672
-11.9607050092,-76.5416784503,10.7124481201
-11.9607230246,-76.5416237742,11.3068428040
-11.9607419749,-76.5415694303,11.3140144348
-11.9607618306,-76.5415154964,10.7498779297
-11.9607826756,-76.5414617523,10.3726959229
-11.9608044097,-76.5414084640,10.9610824585
-11.9608270801,-76.5413555143,12.2316207886
-11.9608506482,-76.5413029957,13.0739097595
-11.9608750381,-76.5412510644,12.4557151794
-11.9609003870,-76.5411994281,12.0441703796
-11.9609266713,-76.5411481494,11.7709236145
